Artist,Location,lat,lon
Pectus,Poland,52.215933,19.134422
Torine,Norway,61.1529386,8.7876653
Shiva,India,22.3511148,78.6677428
Wizzard,United Kingdom,54.7023545,-3.2765753
CHA Medical Center,Baltimore,39.2908816,-76.610759
Arnold Schoenberg,Germany,51.1638175,10.4478313
The Philip Jones Brass Ensemble,United Kingdom,54.7023545,-3.2765753
Karol Szymanowski,Poland,52.215933,19.134422
Academy of St. Martin in the Fields,United Kingdom,54.7023545,-3.2765753
Rebecca Leonard,United States,39.7837304,-100.445882
GoldLink,United States,39.7837304,-100.445882
NoSo,Los Angeles,34.0536909,-118.242766
Rafferty,United Kingdom,54.7023545,-3.2765753
Peter Fenn,Austria,47.59397,14.12456
Kayote,Amsterdam,52.3730796,4.8924534
Brooks & Dunn,United States,39.7837304,-100.445882
RealestK,Toronto,43.6534817,-79.3839347
AriBeatz,Germany,51.1638175,10.4478313
Leona Lewis,United Kingdom,54.7023545,-3.2765753
a balladeer,Netherlands,52.2434979,5.6343227
Thomas Day,United States,39.7837304,-100.445882
Fay Wildhagen,Norway,61.1529386,8.7876653
DLJ,France,46.603354,1.8883335
Teen Daze,Canada,61.0666922,-107.991707
C2C,France,46.603354,1.8883335
CXLOE,Australia,-24.7761086,134.755
Kings Of The City,United Kingdom,54.7023545,-3.2765753
Skip the Use,France,46.603354,1.8883335
Earl Sweatshirt,Santa Monica,34.0194704,-118.491227
Rejjie Snow,Ireland,52.865196,-7.9794599
The Prodigy,United Kingdom,54.7023545,-3.2765753
Rachel Barton Pine,United States,39.7837304,-100.445882
遠江国オーケストラ,Hong Kong,22.2792968,114.1628907
Wiener Philharmoniker,Austria,47.59397,14.12456
Conrad von der Goltz,Germany,51.1638175,10.4478313
Only Fire,United States,39.7837304,-100.445882
Bobby Vee,United States,39.7837304,-100.445882
June Christy,United States,39.7837304,-100.445882
Pilar,Czechia,49.7439047,15.3381061
Isaac Stern,United States,39.7837304,-100.445882
Lionel Hampton,United States,39.7837304,-100.445882
juno roome,Brighton,50.8214626,-0.1400561
Pat Boone,United States,39.7837304,-100.445882
Warwick Smith,United States,39.7837304,-100.445882
Postcards From Mars,Italy,42.6384261,12.674297
Jo Stafford,United States,39.7837304,-100.445882
ENNY,London,51.5074456,-0.1277653
Rangga Jones,United States,39.7837304,-100.445882
Tomas Hilber,Sweden,59.6749712,14.5208584
Matt Wertz,United States,39.7837304,-100.445882
Georg Philipp Telemann,Germany,51.1638175,10.4478313
Alexander Glazunov,Austria,47.59397,14.12456
Vince Guaraldi Trio,United States,39.7837304,-100.445882
Carl Philipp Emanuel Bach,Germany,51.1638175,10.4478313
The Mills Brothers,United States,39.7837304,-100.445882
Emmy Verhey,Netherlands,52.2434979,5.6343227
Mura Masa,United Kingdom,54.7023545,-3.2765753
Flobots,United States,39.7837304,-100.445882
Finger Eleven,Canada,61.0666922,-107.991707
Hilltop Hoods,Australia,-24.7761086,134.755
Steve Luke & Holloway,Sweden,59.6749712,14.5208584
joey elliot,United States,39.7837304,-100.445882
Skalpel,Poland,52.215933,19.134422
Pavlos Pavlidis,Berlin,52.5173885,13.3951309
The Black Comedies,United Kingdom,54.7023545,-3.2765753
Ciao Italia !,Italy,42.6384261,12.674297
Giuse The Lizia,Italy,42.6384261,12.674297
LA SAD,Hoboken,40.7433066,-74.0323752
Charles Snyder,United States,39.7837304,-100.445882
Lucas Flint,United Kingdom,54.7023545,-3.2765753
yama,Japan,36.5748441,139.2394179
Mellow Fellow,Philippines,12.7503486,122.7312101
Popek,France,46.603354,1.8883335
przyłu,Poland,52.215933,19.134422
Gawryle,Poland,52.215933,19.134422
Dawid Tyszkowski,Poland,52.215933,19.134422
Julia Wieniawa,Warsaw,52.2333742,21.0711489
Helucze,Poland,52.215933,19.134422
K2,Japan,36.5748441,139.2394179
Little Circuits,United States,39.7837304,-100.445882
Shwab-Archive,United Kingdom,54.7023545,-3.2765753
Junior Senior,Denmark,55.670249,10.3333283
