Artist,Location,lat,lon
Skaldowie,Poland,52.215933,19.134422
pik pik,Germany,51.1638175,10.4478313
Kleks,Poland,52.215933,19.134422
Kavinsky,France,46.603354,1.8883335
September,Sweden,59.6749712,14.5208584
GROUPLOVE,United States,39.7837304,-100.445882
Mike Shinoda,United States,39.7837304,-100.445882
Wambo,Puerto Rico,18.2247706,-66.4858295
vapeclub archive,United Kingdom,54.7023545,-3.2765753
F.O.,Papua New Guinea,-5.6816069,144.2489081
Deftones,United States,39.7837304,-100.445882
Pixies,United States,39.7837304,-100.445882
The Black Keys,United States,39.7837304,-100.445882
Natasha Bedingfield,United Kingdom,54.7023545,-3.2765753
Sophie Ellis-Bextor,United Kingdom,54.7023545,-3.2765753
David Bowie,England,52.5310214,-1.2649062
Creedence Clearwater Revival,United States,39.7837304,-100.445882
The Cardigans,Sweden,59.6749712,14.5208584
The Rolling Stones,United Kingdom,54.7023545,-3.2765753
The Doors,United States,39.7837304,-100.445882
hako,London,51.5074456,-0.1277653
mikeeysmind,Sweden,59.6749712,14.5208584
Crystal Castles,Canada,61.0666922,-107.991707
Clams Casino,United States,39.7837304,-100.445882
Wondha Mountain,Mongolia,46.8250388,103.8499736
Shy Smith,United States,39.7837304,-100.445882
Pierce The Veil,United States,39.7837304,-100.445882
Motionless In White,United States,39.7837304,-100.445882
Silverstein,Canada,61.0666922,-107.991707
All Time Low,United States,39.7837304,-100.445882
The Word Alive,United States,39.7837304,-100.445882
Underoath,United States,39.7837304,-100.445882
Fall Out Boy,United States,39.7837304,-100.445882
Nothing But Thieves,United Kingdom,54.7023545,-3.2765753
Foo Fighters,United States,39.7837304,-100.445882
Papa Roach,United States,39.7837304,-100.445882
YABOL,Łódź,51.7687323,19.4569911
Kosjusz,Poland,52.215933,19.134422
The Last Dinner Party,London,51.5074456,-0.1277653
Good Neighbours,United Kingdom,54.7023545,-3.2765753
Yung Bleu,United States,39.7837304,-100.445882
Edward Sharpe & The Magnetic Zeros,United States,39.7837304,-100.445882
The Irrepressibles,United Kingdom,54.7023545,-3.2765753
Madcon,Norway,61.1529386,8.7876653
Manu Chao,France,46.603354,1.8883335
Bill Withers,United States,39.7837304,-100.445882
Sérgio Mendes,Brazil,-10.3333333,-53.2
Aloe Blacc,United States,39.7837304,-100.445882
